model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
zero-10m,simple_zero_stage1,4,406400,8.496807622723281,47829.72829856141,410.96573974609373,1643.862958984375,545.47314453125,28.46125,22.681185243488212,234712.31030166088,0.8151209152530412,20.37802288132603,1.661825605993534,6.647302423974136,0.8845687888587292
zero-10m,simple_zero_stage1,2,406400,9.013137796893716,45089.735579107815,472.4491918945312,944.8983837890624,792.80712890625,27.1675,30.136220188001104,117356.15515083044,0.7684255763348217,38.421278816741086,1.9104467567207895,3.820893513441579,1.2856589711998023
zero-10m,simple_zero_stage1,4,406400,8.509614130947739,47757.747148840244,424.5249291992188,1698.099716796875,636.87841796875,26.35,22.866092055265995,234712.31030166088,0.813894202438044,20.3473550609511,1.7166550140206902,6.866620056082761,1.0327965299135011
zero-1b,simple_zero_stage1,2,1635200,54.51866613002494,29993.39705230701,9588.298591308594,19176.597182617188,13807.90625,97.38749999999999,-71.7030325514174,16974.443601230898,3.5339475928544775,176.69737964272386,1.1809046956163636,2.361809391232727,0.49024109863854237
zero-1b,simple_zero_stage1,4,1635200,74.72711566463113,21882.28443525958,6618.527595214844,26474.110380859376,8959.55126953125,98.77375,-61.214187551004805,33948.887202461796,2.5782623512528904,64.45655878132226,0.8151446516632722,3.260578606653089,0.31810327924868026
zero-1b,simple_zero_stage1,2,1635200,120.26086361613125,13597.108409428232,9633.266970214843,19266.533940429686,21824.03271484375,98.5,-37.580685944002546,16974.443601230898,1.602068230200163,80.10341151000814,1.1864430473165057,2.3728860946330115,0.7748486686639035
zero-1b,simple_zero_stage1,4,1635200,93.04576953593642,17574.14666089089,6643.559626464844,26574.238505859375,12957.7861328125,98.04,-51.70620819102003,33948.887202461796,2.070659524841981,51.76648812104953,0.8182276223240667,3.2729104892962666,0.46005811414552944
zero-300m,simple_zero_stage1,2,3273600,33.44464933499694,97881.12792602852,3071.5157763671873,6143.031552734375,6617.25,96.29249999999999,-80.97311983092763,37247.449837243745,5.2557223838802045,262.7861191940102,1.133996217628393,2.267992435256786,0.23019235725788187
zero-300m,simple_zero_stage1,4,3273600,31.691712359897792,103295.14425804152,2150.0634448242185,8600.253779296874,4023.53662109375,96.0525,-81.97037716303686,74494.89967448749,5.546427726429563,138.66069316073907,0.7937982389188497,3.175192955675399,0.13996560192269952
zero-300m,simple_zero_stage1,2,3273600,97.81108932709321,33468.597707287045,3163.9795727539063,6327.9591455078125,16689.54248046875,99.0175,-44.35463032690201,37247.449837243745,1.7970947194254236,89.85473597127118,1.1681336282765376,2.336267256553075,0.5805742755879948
zero-300m,simple_zero_stage1,4,3273600,60.71183898486197,53920.290584777824,2195.6111743164065,8782.444697265626,9059.8818359375,97.6075,-65.46063695754727,74494.89967448749,2.895247369706524,72.3811842426631,0.8106143508083326,3.24245740323333,0.315163482759805
