model_size,strategy,num_devices,total_tokens,total_time_sec,throughput_tokens_sec,avg_gpu_mem_mb,total_gpu_mem_mb,peak_gpu_mem_mb,avg_gpu_util_percent,relative_runtime_overhead_percent,ideal_scaling_throughput,throughput_scaling_factor,throughput_efficiency_percent,memory_scaling_factor,total_memory_scaling_factor,peak_memory_scaling_factor
100m,megatron_pipeline_parallel,4,1635200,41.502311723306775,39400.21488204735,436.36083984375,1745.443359375,1849.2861328125,68.3775,31.1578658564297,206705.92392856287,0.762439975269678,19.06099938174195,0.4046946603927153,1.6187786415708612,0.279059989964463
10m,megatron_pipeline_parallel,2,406400,6.365301879122853,63846.14708265846,144.08111328125,288.1622265625,260.302734375,52.87,46.3824370400054,186919.09211148354,0.6831420628191252,34.15710314095626,0.6395626601571944,1.2791253203143889,0.5166478653749985
10m,megatron_pipeline_parallel,4,406400,8.848027953878045,45931.138793687576,102.70810546875,410.832421875,177.6005859375,59.712500000000006,103.47752855756784,373838.1842229671,0.4914547601835453,12.286369004588632,0.45591172678596864,1.8236469071438746,0.3525009594473583
1b,megatron_pipeline_parallel,2,818400,203.0642722826451,4030.251066819225,6126.11759765625,12252.2351953125,17684.19189453125,78.2375,33.63003843194539,10771.252098988838,0.7483347395049028,37.41673697524514,0.600029280525213,1.200058561050426,0.5345178114626874
1b,megatron_pipeline_parallel,4,818400,174.39678731746972,4692.7469971691335,4068.4549414062503,16273.819765625001,9989.04638671875,74.89125,14.764892561718334,21542.504197977676,0.8713466092971066,21.783665232427666,0.39848926378350935,1.5939570551340374,0.3019263331382041
300m,megatron_pipeline_parallel,2,1636800,205.26189451292157,7974.202926870875,1991.90501953125,3983.8100390625,12909.38720703125,68.8825,75.5842055391979,28002.881714459385,0.5695273085236344,28.476365426181722,0.5991478979149005,1.198295795829801,0.5157715319057836
300m,megatron_pipeline_parallel,4,1636800,197.86850262992084,8272.160441125661,1313.35205078125,5253.408203125,6880.19580078125,70.27,69.25978354603093,56005.76342891877,0.5908077979599009,14.770194948997522,0.3950450010076218,1.5801800040304872,0.27488594702991737
500m,megatron_pipeline_parallel,2,1636800,257.62339689582586,6353.460204788256,3047.25615234375,6094.5123046875,16610.49169921875,77.655,70.93519214523995,21720.598817852322,0.5850170391772348,29.25085195886174,0.5977246503381336,1.1954493006762672,0.5200904134498913
500m,megatron_pipeline_parallel,4,1636800,244.81622468680143,6685.831390848351,2007.8752148437497,8031.500859374999,8929.37353515625,74.295,62.43753056339223,43441.197635704644,0.6156212770113147,15.390531925282868,0.39384825256386913,1.5753930102554765,0.27958724268026086
100m,single_gpu,1,1635200,31.643021523952484,51676.48098214072,1078.24708984375,1078.24708984375,6626.8408203125,92.625,0.0,51676.48098214072,1.0,100.0,1.0,1.0,1.0
